Staffel,Thema,Begegnung,Erstellt am,Letzter post am,Posts,Views,Unterschiedliche Autoren,Likes,Wörter,Wähler gesamt

8,Bester NPC,Community-Picks,2021-02-12T12:08:40.515Z,2021-03-09T15:08:08.660Z,159,1894,30,397,6771,95,Joker (Arkham Asylum),2,Jaheira (Baldurs Gate),2,Elizabeth (Bioshock Infinite),6,Clabtrap (Borderlands),2,Wissenschaftsberater (Civilization V),1,Schnecke (Commander Keen 4),0,Skippy (Cyberpunk 2077),0,Panam (Cyberpunk 2077),2,Jackie Welles (Cyberpunk 2077),2,Judy Alvarez (Cyberpunk 2077),5,Patches (Dark Souls),21,Hank Anderson (Detroit: Become human),0,Dekard Cain (Diablo),2,Repo-Man (die Sims),20,Kim Kitsuragi (Disco Elysium),10,Cuno (Disco Elysium),3,Harold (Fallout),1,Junge aus Kühlschrank (Fallout 4),8,Mr. House (Fallout New Vegas),0,Sephiroth (FF7),2,Fin Bartels (Football Manager),2,Sindri (God of War),1,Mud (Gothic),7,Glottis (Grim Fandango),4,Brucie Kibbutz (GTA 4),0,G-Man (Half-Life),2,Zeus (Immortals Fenyx Rising),0,Elliot (Jagged Alliance 2),4,Ratpouch (Lure of the Temptress),0,Hamster (Maniac Mansion),2,Space-Hamster (Mass Effect),1,Grimoir Noir (Nier),2,Pascal (Nier: Automata),1,Lucien Lachance (Oblivion),1,Clippy (Office 97),5,Parvati (Outer Worlds),1,Clyde (Pac-man),0,Einhar (Path of Exile),1,Deppie Dave (Plants vs. Zombies),0,GLaDOS (Portal),19,Weighted Companion Cube (Portal),8,Händler (Resident Evil 4),3,Tom Johnson (Shenmue 2),1,Shriv (Star Wars Battlefront 2),0,Dina (the Last of us Part 2),1,Clementine (the Walking Dead S1),4,blutiger Baron (the Witcher 3),3,Sigismund Dijkstra (the Witcher 3),0,Gaunter O’Dimm (the Witcher 3),4,Berater aus Theme Hospital (Theme Hospital),1,BT (Titanfall 2),2,Penultimo (Tropico),1,Elena Fisher (Uncharted),3,Chloe Frazer (Uncharted),0,Sans (Undertale),1,Papyrus (Undertale),1,Majima Goro (Yakuza),5,Navi (Zelda Ocarina of Time),3,Midna (Zelda Twilight Princess),0
9,Bestes Gamesbundesland,Finale,2021-11-20T20:10:33.769Z,2021-11-24T09:31:37.560Z,25,381,11,41,960,51,Berlin,28,Rheinland-Pfalz,23
9,Bestes Gamesbundesland,Halfinale,2021-11-11T10:09:32.566Z,2021-11-19T13:45:02.758Z,46,538,14,89,1797,45,Hamburg,20,Berlin,25
9,Bestes Gamesbundesland,Halfinale,2021-11-11T10:23:15.851Z,2021-11-14T15:22:49.062Z,29,349,10,16,897,40,Rheinland-Pfalz,25,Hessen,15
9,Bestes Gamesbundesland,Viertelfinale,2021-11-10T19:19:37.810Z,2021-11-10T22:27:48.517Z,3,151,3,3,45,17,Berlin,11,Saarland,6
9,Bestes Gamesbundesland,Viertelfinale,2021-11-10T19:32:21.934Z,2021-11-10T22:04:18.824Z,3,153,3,3,37,13,Rheinland-Pfalz,7,Niedersachsen,6
9,Bestes Gamesbundesland,Viertelfinale,2021-11-10T19:45:16.101Z,2021-11-10T19:49:58.307Z,3,141,3,2,40,12,Bayern,4,Hessen,8
9,Bestes Gamesbundesland,Viertelfinale,2021-11-10T18:53:17.641Z,2021-11-10T18:53:17.754Z,1,113,1,1,12,23,Meck-Pomm,9,Hamburg,14
9,Bestes Gamesbundesland,Achtelfinale,2021-11-07T08:15:58.820Z,2021-11-10T14:53:33.446Z,38,410,12,72,1411,51,Thüringen,23,Hessen,28
9,Bestes Gamesbundesland,Achtelfinale,2021-11-02T07:00:42.681Z,2021-11-08T18:37:14.612Z,176,1002,25,530,8813,63,Bayern,32,Schleswig-Holstein,31
9,Bestes Gamesbundesland,Achtelfinale,2021-10-22T06:42:11.331Z,2021-11-03T20:05:32.653Z,23,476,12,90,566,53,Brandenburg,17,Niedersachsen,36
9,Bestes Gamesbundesland,Achtelfinale,2021-10-07T05:50:38.882Z,2021-11-01T00:15:36.507Z,48,958,24,171,3017,67,Rheinland-Pfalz,41,Baden-Württemberg,26
9,Bestes Gamesbundesland,Achtelfinale,2021-09-24T07:52:22.819Z,2021-10-18T18:25:03.428Z,32,607,15,140,1596,64,Saarland,40,Bremen,24
9,Bestes Gamesbundesland,Achtelfinale,2021-09-09T12:31:58.654Z,2021-09-16T11:28:23.890Z,37,646,13,122,916,55,Sachsen-Anhalt,23,Berlin,32
9,Bestes Gamesbundesland,Achtelfinale,2021-08-28T06:37:36.126Z,2021-09-04T09:01:10.757Z,36,780,19,124,1631,62,Sachsen,15,Hamburg,47
9,Bestes Gamesbundesland,Achtelfinale,2021-08-20T05:55:30.362Z,2021-08-28T11:53:19.166Z,93,1274,26,435,4328,75,NRW,37,Meck-Pomm,38
9,Bestes Gamesbundesland,Bonus,2021-11-16T20:44:16.032Z,2021-11-19T23:11:37.971Z,52,543,16,149,2022,51,Schweiz,25,Österreich,26
10,Beste Rollenspiel aller Zeiten,Achtelfinale,2021-12-16T09:45:25.338Z,2021-12-23T19:45:07.647Z,165,1526,36,690,7570,105,Baldurs Gate 2,54,The Elder Scrolls III: Morrowind,51
10,Beste Rollenspiel aller Zeiten,Achtelfinale,2021-12-23T07:01:40.970Z,2022-01-28T18:02:47.803Z,14,386,10,40,370,52,Fallout: New Vegas,40,Candy Box 2,12
10,Beste Rollenspiel aller Zeiten,Community Umfrage,2021-12-23T20:15:46.027Z,2022-01-16T19:23:27.405Z,64,893,20,144,3360,76,Alpha Protocol,3,Arcanum,6,Baldurs Gate 2,10,Caves of Qud,3,Crusaider Kings 2,9,Cyberpunk 2077,13,Dark Messiah of Might and Magic,4,Darkest Dungeon,10,Das schwarze Auge: Drakensang,6,Diablo 2,10,Doom RPG,2,Dragon Age: Origins,18,Dragon Quest VII,1,Dragon Quest VIII,2,Dungeon Crawl Stone Soup,2,Dungeon Master,6,ELEX,12,Elite Dangerous,5,Escape from Tarkov,2,Eve Online,2,Fable,5,Fable 3,6,Fallout 2,9,Final Fantasy 7,12,Final Fantasy: Mystic Quest,3,Game of Thrones,1,Gothic,16,Gothic 2,23,Greedfall,1,Guild Wars 1,4,Harvest Moon,2,Illusion of Time,3,Kingdom Come Deliverance,11,Kingdoms of Amalur: Reckoning,1,Legend of Grimrock,8,Legend of Heroes Trails to Azure,3,Lufia,4,Mass Effect 2,25,Might & Magic 5: Worlds of Xeen,4,Might & Magic 6: The Mandate of Heaven,4,Might & Magic 7: For Blood and Honor,0,Mount and Blade,4,Nethack,4,Nier Automata,6,Paper Mario,4,Persona 4: Golden,6,Persona 5: Royal,12,Pillars of Eternity: Deadfire,8,Planescape Torment,17,Pokemon Gelb,11,Pokemon Sun,1,Red Dead Redemption 2,9,Risen 2,2,Secret of Mana,10,Shadowrun: Dragonfall,6,Silver,4,Sims 4,5,Star Wars: Knights of the Old Republic,21,System Shock,4,Terranigma,9,The Chronicles of Spellborn,1,The Elder Scrolls IV: Oblivion,4,The Elder Scrolls V: Skyrim,21,The Witcher 1,5,Tibia,1,Two Worlds,0,Tyranny,5,Ultima IX,1,Ultima Underworld,3,Undertale,5,We Are Football,6,Wild Arms 5,1,Wildstar,1,Witcher 3,23,Wizardry 7,4,World of Aden: Thunderscape,0,World of Warcraft,9,Xenoblade Chronicles II,3,Zelda: A Link to the Past,14
,Bonusfolgen,Geilste Gaming-Aktie,2019-09-19T13:33:10.280Z,2021-09-07T11:33:35.590Z,140,3812,30,258,7484,45,CD Projekt,8,Take Two,2,Activision Blizzard,2,EA,1,Ubisoft,5,Konami,1,Sega,5,Nintendo,11,Capcom,3,Square Enix,0,Paradox Interactive,5,THQ Nordic,2
,Bonusfolgen,Beste Fehlwertung,2021-07-15T08:13:47.789Z,2021-07-21T16:23:04.328Z,56,928,20,157,3164,70,Planescape Torment / 82 (Gamestar),4,Gothic 3 / 84 (Gamestar),8,Gothic 3 / 68 (4Players),3,"Dragon Age Inquisition / 9,5 (Gamersglobal)",37,Ultima 9 / 92 (Gamestar),8,FIFA 06 / 85 (Gamestar),2,Goodbye Deponia / 91 (Gamestar),8
,Bonusfolgen,Wird das geil? Die E3-Edition,2021-06-16T06:21:45.568Z,2021-07-01T08:44:51.963Z,44,687,22,93,2050,53,Elden Ring,9,Battlefield 2042,5,Jurassic World Evolution 2,1,Two Point Campus,3,Starfield,11,Atomic Heart,0,Mario Rabbids 2,2,Elex 2,13,Rocksmith 2,3,Guardians of the galaxy,2,Forza Horizon 5,4,Redfall,0
