"Exterminator","https://www.kultboy.com/testbericht-uebersicht/401/",75,,,75,83,,,,,,,,,,,77.67,77.67
"Krymini","https://www.kultboy.com/testbericht-uebersicht/3598/",70,,,13,58,,,,,,,,,,,47.00,47.00
"North & South","https://www.kultboy.com/testbericht-uebersicht/294/",70,,,83,83,,,,,,,,92,60,86,77.60,77.60
"Over the Net","https://www.kultboy.com/testbericht-uebersicht/3658/",73,,,73,16,,,,,,,,,63,,56.25,56.25
"Robocop 2","https://www.kultboy.com/testbericht-uebersicht/932/",76,,,76,50,,,,,,,,,43,56,61.25,61.25
"The Power","https://www.kultboy.com/testbericht-uebersicht/3661/",74,,,74,58,,,,,,,,,,,68.67,68.67
"Gem'X","https://www.kultboy.com/testbericht-uebersicht/720/",76,,,86,58,,,,,,76,,,,,74.00,74.00
"Elvira: Mistress of the Dark","https://www.kultboy.com/testbericht-uebersicht/106/",87,,,87,50,,,,,,,,,42,84,66.50,66.50
"Black Gold","https://www.kultboy.com/testbericht-uebersicht/357/",69,,,74,83,,,,,,74,,69,48,60,69.50,69.50
"Steigenberger Hotelmanager","https://www.kultboy.com/testbericht-uebersicht/2010/",70,,,57,75,,,,,,,,,45,53,61.75,61.75
"Winzer","https://www.kultboy.com/testbericht-uebersicht/89/",69,,,69,58,,,,,,,,61,53,73,62.00,62.00
"Th!nk Cross","https://www.kultboy.com/testbericht-uebersicht/1377/",81,,,81,83,,,,,,83,,,63,,78.20,78.20
"Turn It II","https://www.kultboy.com/testbericht-uebersicht/3901/",71,,,,,,,,,,,,27,71,,56.33,56.33
"Space Crusade","https://www.kultboy.com/testbericht-uebersicht/889/",68,,,68,,,,,,,61,63,61,68,81,64.83,64.83
"Turbo Charge","https://www.kultboy.com/testbericht-uebersicht/2172/",70,,,,33,,,,,,,,,,,51.50,
"The Blues Brothers","https://www.kultboy.com/testbericht-uebersicht/714/",65,,,75,,,,,,,69,,,61,62,67.50,67.50
"Ballistix","https://www.kultboy.com/testbericht-uebersicht/1662/",70,,,,,,,,,,,,,56,,63.00,
"Bloodwych","https://www.kultboy.com/testbericht-uebersicht/1254/",74,,,61,66,,,,,,62,,,74,65,67.40,67.40
"Ferrari Formula One: Grand Prix Racing Simulation","https://www.kultboy.com/testbericht-uebersicht/3282/",70,,,,,63,,,,,,,,,,66.50,
